price,Kecamatan,kondisi_perabotan,luas_bangunan,luas_tanah,daya_listrik
775,Jombang,1,80,84,2200.0
588,Jombang,2,36,72,1300.0
775,Jombang,1,45,72,1300.0
1900,Jombang,1,163,215,3300.0
2310,Jombang,1,199,180,5500.0
1200,Jombang,2,64,64,2200.0
699,Jombang,2,60,60,1300.0
2750,Jombang,2,400,225,3300.0
3500,Jombang,2,140,200,3500.0
3250,Jombang,2,190,140,5500.0
2470,Jombang,1,180,194,4400.0
1650,Jombang,1,144,100,3500.0
3500,Jombang,1,160,470,2200.0
2500,Jombang,2,220,96,3500.0
900,Jombang,1,65,60,2200.0
1450,Jombang,1,81,74,2200.0
2000,Jombang,1,120,196,2200.0
900,Jombang,1,36,72,2200.0
540,Cikupa,1,36,72,2200.0
2100,Cikupa,1,160,160,3300.0
850,Cikupa,1,69,90,2200.0
1210,Cikupa,2,120,100,2200.0
2670,Cikupa,1,237,200,4400.0
950,Cikupa,1,79,66,2200.0
1150,Cikupa,1,115,160,2200.0
700,Cikupa,1,100,60,1300.0
3040,Cikupa,1,110,160,2200.0
910,Cikupa,1,79,69,1300.0
1490,Cikupa,1,120,100,3500.0
850,Cikupa,1,66,120,1300.0
2100,Cikupa,1,220,160,2200.0
2040,Karawaci,1,180,120,4400.0
909,Karawaci,1,48,76,1300.0
1280,Karawaci,1,72,74,2200.0
1130,Karawaci,1,80,120,1300.0
1180,Karawaci,1,56,96,3500.0
1400,Karawaci,1,200,112,3300.0
1020,Karawaci,1,72,72,2200.0
545,Karawaci,1,45,72,1300.0
987,Karawaci,1,83,72,2200.0
950,Karawaci,1,150,100,3500.0
1820,Karawaci,1,160,144,2200.0
810,Karawaci,1,75,60,3500.0
1020,Karawaci,1,50,60,2200.0
559,Karawaci,1,60,52,3500.0
991,Karawaci,1,77,70,2200.0
1720,Karawaci,1,97,105,2200.0
785,Karawaci,1,90,135,2200.0
1800,Karawaci,1,152,126,2200.0
2650,Karawaci,1,200,250,2200.0
299,Karawaci,1,32,35,2200.0
5000,Jombang,2,250,296,4400.0
2300,Jombang,2,190,150,3300.0
1200,Jombang,2,64,60,2200.0
1800,Jombang,2,120,112,2200.0
1350,Jombang,1,60,70,4400.0
3840,Jombang,1,200,265,7700.0
1750,Jombang,2,100,102,1300.0
1040,Jombang,2,65,60,2200.0
1600,Jombang,1,130,115,1300.0
950,Jombang,1,130,70,1300.0
1580,Jombang,1,140,120,2200.0
300,Curug,2,60,60,1300.0
4800,Curug,2,600,2829,4400.0
550,Curug,2,80,116,1300.0
7500,Curug,2,250,360,4400.0
9500,Curug,1,650,400,7600.0
1600,Curug,2,160,96,11000.0
720,Curug,1,36,72,1300.0
740,Curug,1,39,72,1300.0
530,Curug,2,36,72,2200.0
955,Curug,1,144,113,1300.0
1000,Curug,1,139,90,2200.0
800,Curug,2,41,72,2200.0
1440,Curug,1,70,120,2200.0
1550,Curug,2,102,90,2200.0
1500,Jombang,1,86,80,2200.0
1550,Jombang,1,140,147,3500.0
1550,Jombang,1,280,200,4400.0
389,Suradita,1,35,60,1300.0
2390,Suradita,2,145,135,2200.0
2390,Suradita,1,145,135,2200.0
625,Suradita,1,60,72,1300.0
1200,Suradita,1,54,72,1300.0
800,Suradita,2,65,96,2200.0
900,Suradita,1,72,72,2200.0
840,Suradita,1,144,72,2200.0
1100,Jombang,2,45,60,2200.0
700,Suradita,1,39,72,2200.0
300,Suradita,1,35,60,1300.0
200,Suradita,1,45,90,900.0
950,Suradita,1,110,137,2200.0
585,Suradita,1,40,71,2200.0
850,Suradita,1,65,96,2200.0
1880,Cikupa,1,110,108,2200.0
1800,Cikupa,1,200,160,3500.0
910,Karawaci,1,77,150,2200.0
1060,Curug,2,160,125,2200.0
1610,Suradita,1,80,102,2200.0
760,Suradita,1,36,60,1300.0
1140,Suradita,1,46,72,1300.0
725,Suradita,1,30,50,2200.0
1220,Karang Tengah,1,46,78,2200.0
1350,Karang Tengah,1,90,78,2200.0
1850,Permata Medang,2,73,77,2200.0
3650,BSD Golden Viena,1,250,273,5500.0
3500,BSD Golden Viena,1,275,180,4400.0
590,Karawaci,1,90,90,2200.0
1800,Karawaci,1,156,156,2200.0
720,Karawaci,1,36,72,1300.0
1150,Jombang,1,170,90,2200.0
2800,Jombang,2,108,210,2200.0
2700,Jombang,2,139,124,5500.0
2800,Jombang,2,150,220,3500.0
2300,Jombang,1,60,200,5500.0
3000,Jombang,2,160,250,2200.0
2700,Jombang,2,150,180,3500.0
1490,Jombang,1,144,100,2200.0
2100,Jombang,1,60,200,5500.0
2000,Jombang,1,180,112,2200.0
2200,Jombang,1,200,149,2200.0
1950,Jombang,1,242,303,2200.0
875,Jombang,1,65,72,1300.0
1500,Jombang,2,107,107,1300.0
548,Jombang,1,36,60,1300.0
1600,Jombang,1,250,124,4400.0
1300,Permata Medang,2,180,90,5500.0
1450,Permata Medang,1,80,120,2200.0
1360,Permata Medang,2,80,98,3500.0
1500,Permata Medang,1,150,200,3300.0
1650,Permata Medang,2,112,116,2200.0
675,Permata Medang,1,42,60,1300.0
2200,Permata Medang,2,138,160,900.0
750,Permata Medang,2,50,60,2200.0
1000,Permata Medang,1,80,120,2200.0
595,Permata Medang,1,40,60,1300.0
550,Jombang,1,60,66,1300.0
1660,Jombang,2,70,120,900.0
820,Permata Medang,1,70,90,2200.0
1300,Permata Medang,1,180,90,5500.0
2200,Permata Medang,2,256,128,4400.0
1200,Permata Medang,1,120,136,2200.0
850,Permata Medang,1,60,87,1300.0
2800,BSD Ingenia,2,152,136,2200.0
2740,BSD Ingenia,1,114,144,2200.0
2500,BSD Ingenia,1,114,136,2200.0
2650,BSD Ingenia,2,114,144,2200.0
3100,BSD Ingenia,1,125,168,2200.0
750,Permata Medang,1,60,72,2200.0
1350,Permata Medang,2,90,135,2200.0
2550,BSD Ingenia,1,92,144,2200.0
1840,Permata Medang,1,118,91,3500.0
1400,BSD Vanya Park,2,89,34,4400.0
1350,BSD Vanya Park,2,90,32,2200.0
1450,BSD Vanya Park,2,53,60,3300.0
1300,BSD Vanya Park,1,53,60,2200.0
1260,BSD Vanya Park,2,72,60,900.0
1650,BSD Golden Viena,2,110,155,4400.0
1800,BSD Vanya Park,1,70,77,900.0
2900,BSD Golden Viena,1,250,180,4400.0
3750,BSD Golden Viena,2,250,273,4400.0
2400,BSD Golden Viena,1,120,160,2200.0
3500,BSD Golden Viena,2,275,180,4400.0
3500,BSD Golden Viena,2,175,240,3500.0
1950,BSD Golden Viena,2,250,160,2200.0
3200,BSD Golden Viena,1,400,225,6600.0
2050,BSD Golden Viena,2,250,160,2200.0
3500,BSD Golden Viena,1,150,238,3500.0
5300,BSD Golden Viena,2,450,346,5500.0
331,Mauk,1,66,36,1300.0
360,Mauk,1,66,42,1300.0
360,Mauk,1,66,37,1300.0
283,Mauk,1,66,35,1300.0
1250,Mauk,2,200,96,2200.0
397,Mauk,1,66,45,1300.0
335,Mauk,1,66,37,1300.0
525,Mauk,2,131,260,2200.0
181,Mauk,1,66,30,1300.0
950,Mauk,1,203,125,2200.0
650,Mauk,1,40,120,1300.0
720,Mauk,1,62,98,2200.0
2700,Permata Medang,2,220,178,12700.0
1200,Permata Medang,1,180,90,5500.0
2200,Metro Permata,2,216,112,2200.0
1800,Metro Permata,1,99,87,2200.0
2500,Metro Permata,2,135,144,3500.0
6000,Metro Permata,1,172,220,2200.0
1950,Metro Permata,2,112,160,3500.0
2800,Metro Permata,2,200,144,5500.0
1650,Metro Permata,2,125,118,2200.0
1350,Metro Permata,2,100,102,2200.0
990,Metro Permata,1,5,78,1300.0
975,Metro Permata,2,50,78,2200.0
1500,Metro Permata,2,155,84,3300.0
2560,Metro Permata,1,140,144,3500.0
4500,Metro Permata,2,370,263,6600.0
2500,Metro Permata,2,180,160,3500.0
6000,Metro Permata,2,500,276,8000.0
1600,Metro Permata,2,112,112,2200.0
2270,Metro Permata,2,150,105,3500.0
1200,Metro Permata,1,60,84,2200.0
3150,BSD The Icon,2,120,162,4400.0
1900,BSD The Icon,1,73,119,2200.0
2150,BSD The Icon,2,73,119,2200.0
3100,BSD The Icon,1,150,144,4400.0
1600,BSD The Icon,1,73,90,2200.0
5250,BSD The Icon,1,225,202,7700.0
3100,BSD The Icon,2,200,144,2200.0
4500,BSD The Icon,2,175,200,4400.0
2150,BSD The Icon,2,80,112,2200.0
3300,BSD The Icon,2,120,162,2200.0
1000,Jurangmangu,1,80,100,2200.0
4100,BSD The Icon,2,229,132,4400.0
790,Jombang,2,36,72,1300.0
997,Jurangmangu,1,60,60,2200.0
1900,Jurangmangu,1,150,60,3500.0
1800,Jurangmangu,2,200,175,5500.0
2800,Jurangmangu,2,124,354,2200.0
1500,Jurangmangu,1,140,200,3500.0
4950,Jurangmangu,1,260,264,2200.0
600,Jurangmangu,1,66,60,2200.0
850,Permata Medang,1,78,90,1300.0
600,Permata Medang,1,55,60,2200.0
3300,BSD Residence One,2,160,199,2200.0
3500,BSD Residence One,1,300,200,4400.0
2850,BSD Residence One,1,250,160,5500.0
3700,BSD Residence One,1,399,250,6600.0
1500,Jurangmangu,2,100,150,2200.0
2800,Jurangmangu,2,300,350,2200.0
890,Jurangmangu,2,60,90,2200.0
1500,Jurangmangu,1,190,119,2200.0
2050,Jurangmangu,1,105,106,2200.0
699,Jurangmangu,2,60,60,1300.0
775,Jurangmangu,1,48,72,2200.0
1850,Jurangmangu,2,220,200,3300.0
3640,BSD Eminent,2,102,128,2200.0
3000,BSD Eminent,1,114,160,2200.0
5000,BSD Eminent,1,228,200,2200.0
2150,BSD Residence One,2,147,108,7700.0
2250,BSD Residence One,2,156,136,3500.0
2800,BSD Residence One,2,300,160,4400.0
2800,BSD Residence One,1,320,160,5500.0
2900,BSD Residence One,2,250,160,2200.0
4500,BSD Residence One,1,152,292,2200.0
3000,BSD Eminent,2,114,144,2200.0
