price,Kecamatan,komplek,Listrik,Lantai,KM,KMP,KP,KT,Kondisi,kondisi_properti,LB,LT,carport/Garage
775,Jombang,1,2200,1,2,0,0,2,Unfurnished,Bagus,80,84,1
588,Jombang,1,1300,1,1,0,0,2,Furnished,Bagus,36,72,1
775,Jombang,1,1300,1,1,0,0,2,Unfurnished,Bagus,45,72,0
1900,Jombang,0,3300,2,3,1,1,4,Unfurnished,Bagus,163,215,1
2310,Jombang,0,5500,2,3,1,1,4,Unfurnished,Bagus,199,180,1
1200,Jombang,1,2200,2,2,0,0,4,Furnished,Bagus,64,64,1
699,Jombang,0,1300,2,2,0,0,3,Furnished,Bagus,60,60,1
2750,Jombang,1,3300,3,2,0,0,4,Furnished,Bagus,400,225,1
3500,Jombang,0,3500,2,2,0,0,4,Furnished,Bagus,140,200,1
3250,Jombang,0,5500,2,3,1,1,4,Furnished,Bagus,190,140,1
2470,Jombang,0,4400,2,3,1,1,5,Unfurnished,Bagus,180,194,1
1650,Jombang,1,3500,2,2,0,0,4,Unfurnished,Bagus,144,100,1
4,Jombang,1,13900,1,1,0,0,1,Unfurnished,Bagus,804,804,0
3500,Jombang,1,2200,1,1,1,1,2,Unfurnished,Butuh renovasi,160,470,1
2500,Jombang,0,3500,3,2,1,1,3,Furnished,Bagus,220,96,1
900,Jombang,1,2200,2,3,0,0,3,Unfurnished,Bagus,65,60,1
1450,Jombang,0,2200,2,2,0,0,2,Unfurnished,Bagus,81,74,1
2000,Jombang,0,2200,1,1,0,0,3,Unfurnished,Bagus,120,196,0
900,Jombang,0,2200,1,1,1,1,2,Unfurnished,Bagus,36,72,1
540,Cikupa,0,2200,1,1,0,0,2,Unfurnished,Bagus,36,72,0
2100,Cikupa,0,3300,2,3,1,1,3,Unfurnished,Bagus,160,160,1
850,Cikupa,1,2200,2,2,0,0,3,Unfurnished,Bagus,69,90,1
1210,Cikupa,1,2200,1,3,1,1,4,Furnished,Bagus,120,100,1
2670,Cikupa,1,4400,2,3,1,1,4,Unfurnished,Bagus,237,200,1
950,Cikupa,0,2200,2,2,0,0,3,Unfurnished,Bagus,79,66,1
1150,Cikupa,0,2200,2,2,1,1,3,Unfurnished,Butuh renovasi,115,160,1
700,Cikupa,0,1300,1,1,0,0,2,Unfurnished,Bagus,100,60,0
3040,Cikupa,0,2200,2,3,0,0,4,Unfurnished,Bagus,110,160,0
910,Cikupa,0,1300,2,2,0,0,3,Unfurnished,Bagus,79,69,0
1490,Cikupa,1,3500,2,3,1,1,4,Unfurnished,Bagus,120,100,0
850,Cikupa,0,1300,1,1,0,0,2,Furnished,Bagus,66,120,1
2100,Cikupa,1,2200,2,3,1,1,4,Unfurnished,Bagus,220,160,1
2040,Karawaci,0,4400,2,3,0,0,5,Unfurnished,Bagus,180,120,1
909,Karawaci,0,1300,1,1,0,0,2,Unfurnished,Bagus,48,76,0
1280,Karawaci,0,2200,2,3,0,0,2,Unfurnished,Bagus,72,74,0
1130,Karawaci,0,1300,1,1,0,0,3,Unfurnished,Bagus,80,120,1
1180,Karawaci,0,3500,1,1,0,0,3,Unfurnished,Bagus,56,96,1
1400,Karawaci,0,3300,2,1,0,1,3,Unfurnished,Bagus,200,112,1
1020,Karawaci,0,2200,2,2,0,0,5,Unfurnished,Bagus,72,72,1
545,Karawaci,0,1300,1,1,0,0,2,Unfurnished,Bagus,45,72,1
987,Karawaci,1,2200,2,2,0,0,4,Unfurnished,Bagus,83,72,0
950,Karawaci,0,3500,2,3,0,0,4,Unfurnished,Bagus,150,100,1
1820,Karawaci,0,2200,2,3,0,0,4,Unfurnished,Bagus,160,144,0
810,Karawaci,0,3500,1,1,0,0,2,Unfurnished,Bagus,75,60,0
1020,Karawaci,0,2200,2,2,0,0,2,Unfurnished,Bagus,50,60,0
559,Karawaci,1,3500,2,3,0,0,3,Unfurnished,Bagus,60,52,1
991,Karawaci,1,2200,2,2,0,0,4,Unfurnished,Bagus,77,70,1
1720,Karawaci,0,2200,2,4,0,0,4,Unfurnished,Bagus,97,105,1
785,Karawaci,0,2200,1,2,0,0,3,Unfurnished,Bagus,90,135,0
1800,Karawaci,0,2200,2,2,0,1,2,Unfurnished,Bagus,152,126,0
2650,Karawaci,0,2200,1,2,0,0,4,Unfurnished,Butuh renovasi,200,250,1
299,Karawaci,1,2200,1,1,0,0,1,Unfurnished,Bagus,32,35,1
5000,Jombang,0,4400,1,4,0,0,3,Furnished,Bagus,250,296,1
2300,Jombang,1,3300,2,3,0,0,4,Furnished,Bagus,190,150,1
1200,Jombang,0,2200,2,2,0,0,3,Furnished,Bagus,64,60,1
1800,Jombang,0,2200,2,1,0,0,2,Furnished,Bagus,120,112,0
1350,Jombang,0,4400,3,2,1,0,3,Unfurnished,Bagus,60,70,0
3840,Jombang,1,7700,2,1,0,0,4,Unfurnished,Bagus,200,265,1
1750,Jombang,1,1300,2,2,1,1,2,Furnished,Bagus,100,102,0
1040,Jombang,1,2200,2,2,0,0,3,Furnished,Bagus,65,60,0
1600,Jombang,0,1300,2,3,0,1,3,Unfurnished,Butuh renovasi,130,115,1
950,Jombang,1,1300,2,2,0,0,3,Unfurnished,Bagus,130,70,1
1580,Jombang,1,2200,2,3,0,0,3,Unfurnished,Bagus,140,120,1
300,Curug,0,1300,1,1,0,0,2,Furnished,Bagus,60,60,1
