harga,alamat,fasilitas,spesifikasi
"Rp 2,2 Miliar","Ciledug, Tangerang","Taman,Tempat Jemuran, Akses Parkir,Keamanan 24 jam,Masjid, One Gate System, Playground, AC,Kitchen Set,Wastafel,Lapangan Basket,Lapangan Tenis","[['Kamar Tidur', '4'], ['Kamar Mandi', '4'], ['Luas Tanah', '180 m²'], ['Luas Bangunan', '165 m²'], ['Carport', '2'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Material Bangunan', 'Bata Merah'], ['Material Lantai', 'Keramik'], ['Jumlah Lantai', '2'], ['Hadap', 'Utara'], ['Konsep dan Gaya Rumah', 'Minimalis'], ['Pemandangan', 'Pemukiman Warga'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Tahun Dibangun', '2015'], ['Tahun Di Renovasi', '2022'], ['Sumber Air', 'Sumur Pompa'], ['Hook', 'Ya'], ['Kondisi Properti', 'Sudah Renovasi'], ['ID Iklan', 'hos15289525']]"
"Rp 2,8 Miliar","Ciledug, Tangerang",Ac,"[['Kamar Tidur', '5'], ['Kamar Mandi', '4'], ['Luas Tanah', '384 m²'], ['Luas Bangunan', '270 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Kamar Pembantu', '1'], ['Kondisi Perabotan', 'Unfurnished'], ['Jumlah Lantai', '1'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos10988119']]"
Rp 700 Juta,"Ciledug, Tangerang",,"[['Kamar Tidur', '2'], ['Kamar Mandi', '1'], ['Luas Tanah', '72 m²'], ['Luas Bangunan', '50 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '1300 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Jumlah Lantai', '1'], ['Terjangkau Internet', 'Tidak'], ['Lebar Jalan', '2 Mobil'], ['Sumber Air', 'Sumur Bor'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos15069221']]"
"Rp 2,45 Miliar","Ciledug, Tangerang"," Jogging Track, Kolam Renang,Masjid,Taman","[['Kamar Tidur', '4'], ['Kamar Mandi', '4'], ['Luas Tanah', '133 m²'], ['Luas Bangunan', '153 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Jumlah Lantai', '2'], ['Kondisi Properti', 'bagus sekali'], ['ID Iklan', 'hos15070665']]"
"Rp 1,2 Miliar","Ciledug, Tangerang",,"[['Luas Tanah', '156 m²'], ['Luas Bangunan', '200 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '1300 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Jumlah Lantai', '1'], ['Terjangkau Internet', 'Tidak'], ['Tahun Dibangun', '2011'], ['Tahun Di Renovasi', '2022'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos15070782']]"
"Rp 1,4 Miliar","Ciledug, Tangerang","Taman,Tempat Jemuran, CCTV,Keamanan 24 jam, Kolam Renang, One Gate System, Playground,Track Lari","[['Kamar Tidur', '3'], ['Kamar Mandi', '2'], ['Luas Tanah', '75 m²'], ['Luas Bangunan', '75 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Ya'], ['Jumlah Lantai', '2'], ['Hadap', 'Timur'], ['Konsep dan Gaya Rumah', 'Minimalis Modern'], ['Pemandangan', 'Perkotaan'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Tahun Dibangun', '2023'], ['Sumber Air', 'Sumur Bor'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos15146250']]"
Rp 950 Juta,"Ciledug, Tangerang","Jalur Telepon, Jogging Track, Keamanan, Kolam Renang,Taman,Tempat Jemuran,Track Lari","[['Kamar Tidur', '3'], ['Kamar Mandi', '2'], ['Luas Tanah', '72 m²'], ['Luas Bangunan', '77 m²'], ['Carport', '2'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Ya'], ['Kondisi Perabotan', 'Unfurnished'], ['Material Bangunan', 'Beton, Bata Hebel'], ['Material Lantai', 'Granit, Keramik'], ['Garasi', '2'], ['Jumlah Lantai', '2'], ['Hadap', 'Utara'], ['Konsep dan Gaya Rumah', 'Modern'], ['Pemandangan', 'Perkotaan'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Tahun Dibangun', '2023'], ['Sumber Air', 'Sumur Bor'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos15151934']]"
Rp 927 Juta,"Ciledug, Tangerang","Keamanan 24 jam, One Gate System,Taman","[['Kamar Tidur', '3'], ['Kamar Mandi', '2'], ['Luas Tanah', '58 m²'], ['Luas Bangunan', '51 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Ya'], ['Kondisi Perabotan', 'Unfurnished'], ['Garasi', '1'], ['Jumlah Lantai', '2'], ['Konsep dan Gaya Rumah', 'Modern'], ['Pemandangan', 'Perkotaan'], ['Terjangkau Internet', 'Ya'], ['Tahun Dibangun', '2023'], ['Sumber Air', 'Sumur Bor'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos15152855']]"
"Rp 1,84 Miliar","Ciledug, Tangerang","Jalur Telepon, Taman,Tempat Jemuran, Akses Parkir, CCTV,Keamanan 24 jam,Masjid, One Gate System, Playground, Tempat Laundry,AC,Wastafel","[['Kamar Tidur', '3'], ['Kamar Mandi', '3'], ['Luas Tanah', '88 m²'], ['Luas Bangunan', '120 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Material Bangunan', 'Bata Hebel'], ['Material Lantai', 'Granit'], ['Jumlah Lantai', '2'], ['Konsep dan Gaya Rumah', 'Modern'], ['Pemandangan', 'Perkotaan'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Tahun Dibangun', '2023'], ['Sumber Air', 'Sumur Pompa'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos15229164']]"
Rp 700 Juta,"Ciledug, Tangerang",Tempat Jemuran,"[['Kamar Tidur', '3'], ['Kamar Mandi', '3'], ['Luas Tanah', '90 m²'], ['Luas Bangunan', '126 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Kamar Pembantu', '1'], ['Dapur', '1'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Ya'], ['Kondisi Perabotan', 'Unfurnished'], ['Garasi', '1'], ['Jumlah Lantai', '2'], ['Konsep dan Gaya Rumah', 'Minimalis Modern'], ['Pemandangan', 'Perkotaan'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Sumber Air', 'Sumur Pompa'], ['Hook', 'Tidak'], ['ID Iklan', 'hos15229496']]"
