harga,alamat,fasilitas,Carport,Dapur,Daya_Listrik,Garasi,Hadap,Hook,ID_Iklan,Jumlah_Lantai,Kamar_Mandi,Kamar_Mandi_Pembantu,Kamar_Pembantu,Kamar_Tidur,Kondisi_Perabotan,Kondisi_Properti,Konsep_dan_Gaya_Rumah,Lebar_Jalan,Luas_Bangunan,Luas_Tanah,Material_Bangunan,Material_Lantai,Pemandangan,Ruang_Makan,Ruang_Tamu,Sertifikat,Sumber_Air,Tahun_Di_Renovasi,Tahun_Dibangun,Terjangkau_Internet,Tipe_Properti
"Rp 2,2 Miliar","Ciledug, Tangerang","Taman,Tempat Jemuran, Akses Parkir,Keamanan 24 jam,Masjid, One Gate System, Playground, AC,Kitchen Set,Wastafel,Lapangan Basket,Lapangan Tenis",2,1,2200 Watt,,Utara,Ya,hos15289525,2,4,,,4,Unfurnished,Sudah Renovasi,Minimalis,2 Mobil,165 m²,180 m²,Bata Merah,Keramik,Pemukiman Warga,Ya,Tidak,SHM - Sertifikat Hak Milik,Sumur Pompa,2022,2015,Ya,Rumah
"Rp 2,8 Miliar","Ciledug, Tangerang",Ac,,,2200 Watt,,,,hos10988119,1,4,,1,5,Unfurnished,Bagus,,,270 m²,384 m²,,,,,,SHM - Sertifikat Hak Milik,,,,,Rumah
Rp 700 Juta,"Ciledug, Tangerang",,,,1300 Watt,,,Tidak,hos15069221,1,1,,,2,,Baru,,2 Mobil,50 m²,72 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,Sumur Bor,,,Tidak,Rumah
"Rp 2,45 Miliar","Ciledug, Tangerang"," Jogging Track, Kolam Renang,Masjid,Taman",,,2200 Watt,,,,hos15070665,2,4,,,4,,bagus sekali,,,153 m²,133 m²,,,,,,SHM - Sertifikat Hak Milik,,,,,Rumah
"Rp 1,2 Miliar","Ciledug, Tangerang",,,,1300 Watt,,,Tidak,hos15070782,1,,,,,,Bagus,,,200 m²,156 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,PAM atau PDAM,2022,2011,Tidak,Rumah
"Rp 1,4 Miliar","Ciledug, Tangerang","Taman,Tempat Jemuran, CCTV,Keamanan 24 jam, Kolam Renang, One Gate System, Playground,Track Lari",1,1,2200 Watt,,Timur,Tidak,hos15146250,2,2,,,3,,Baru,Minimalis Modern,2 Mobil,75 m²,75 m²,,,Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Bor,,2023,Ya,Rumah
Rp 950 Juta,"Ciledug, Tangerang","Jalur Telepon, Jogging Track, Keamanan, Kolam Renang,Taman,Tempat Jemuran,Track Lari",2,1,2200 Watt,2,Utara,Tidak,hos15151934,2,2,,,3,Unfurnished,Baru,Modern,2 Mobil,77 m²,72 m²,"Beton, Bata Hebel","Granit, Keramik",Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Bor,,2023,Ya,Rumah
Rp 927 Juta,"Ciledug, Tangerang","Keamanan 24 jam, One Gate System,Taman",,1,2200 Watt,1,,Tidak,hos15152855,2,2,,,3,Unfurnished,Baru,Modern,,51 m²,58 m²,,,Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Bor,,2023,Ya,Rumah
"Rp 1,84 Miliar","Ciledug, Tangerang","Jalur Telepon, Taman,Tempat Jemuran, Akses Parkir, CCTV,Keamanan 24 jam,Masjid, One Gate System, Playground, Tempat Laundry,AC,Wastafel",1,1,2200 Watt,,,Tidak,hos15229164,2,3,,,3,Unfurnished,Baru,Modern,2 Mobil,120 m²,88 m²,Bata Hebel,Granit,Perkotaan,Tidak,Tidak,SHM - Sertifikat Hak Milik,Sumur Pompa,,2023,Ya,Rumah
Rp 700 Juta,"Ciledug, Tangerang",Tempat Jemuran,,1,2200 Watt,1,,Tidak,hos15229496,2,3,,1,3,Unfurnished,,Minimalis Modern,2 Mobil,126 m²,90 m²,,,Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Pompa,,,Ya,Rumah
Rp 425 Juta,"Ciledug, Tangerang","Ac,Keamanan, Taman,Keamanan 24 jam, One Gate System,Kitchen Set,Wastafel",1,1,1300 Watt,,Selatan,Tidak,hos15230557,1,1,,,2,Semi Furnished,Baru,Minimalis,1 Mobil,40 m²,50 m²,Bata Hebel,Granit,Perkotaan,Ya,Ya,SHM - Sertifikat Hak Milik,Sumur Bor,2023,2023,Ya,Rumah
"Rp 2,45 Miliar","Ciledug, Tangerang",,,,2200 Watt,,,,hos15230990,1,4,,,4,semi furnished,bagus,,,153 m²,133 m²,,,,,,SHM - Sertifikat Hak Milik,,,,,Rumah
"Rp 3,5 Miliar","Ciledug, Tangerang",,,,5500 Watt,2,,Tidak,hos15231247,1,3,1,1,4,Unfurnished,Bagus,,,400 m²,289 m²,,,,Tidak,Tidak,SHM - Sertifikat Hak Milik,Sumur Bor,,,Tidak,Rumah
